word,tier
sein,1
haben,1
werden,1
können,1
müssen,1
sagen,1
machen,1
Jahr,1
geben,1
kommen,1
sollen,1
wollen,1
gehen,1
wissen,1
sehen,1
lassen,1
stehen,1
Beispiel,1
Zeit,1
Frau,1
Mensch,1
Kind,1
Tag,1
finden,1
bleiben,1
liegen,1
heißen,1
denken,1
Mann,1
nehmen,1
tun,1
dürfen,1
glauben,1
halten,1
nennen,1
Land,1
mögen,1
Frage,1
zeigen,1
führen,1
sprechen,1
Haus,1
Fall,1
bringen,1
Leute,1
Arbeit,1
leben,1
fahren,1
meinen,1
fragen,1
Hand,1
kennen,1
gelten,1
Stadt,1
Teil,1
Problem,1
Welt,1
stellen,1
spielen,1
Recht,1
arbeiten,1
brauchen,1
folgen,1
lernen,1
Ende,1
Schule,1
Woche,1
bestehen,1
Seite,1
verstehen,1
setzen,1
Grund,1
bekommen,1
Auge,1
beginnen,1
erzählen,1
versuchen,1
Wort,1
schreiben,1
laufen,1
Geld,1
erklären,1
Sache,1
Art,1
Bereich,1
Weg,1
sitzen,1
Stunde,1
ziehen,1
Name,1
fallen,1
Kopf,1
gehören,1
entstehen,1
erhalten,1
Möglichkeit,1
treffen,1
suchen,1
Bild,1
Buch,1
legen,2
Wasser,2
Stelle,2
vorstellen,2
Form,2
handeln,2
Entwicklung,2
erreichen,2
tragen,2
Familie,2
Morgen,2
Abend,2
schaffen,2
Sinn,2
lesen,2
Ziel,2
Freund,2
Thema,2
Person,2
Nacht,2
verlieren,2
Ding,2
Raum,2
Blick,2
Platz,2
Uhr,2
Eltern,2
erkennen,2
entwickeln,2
Straße,2
reden,2
erscheinen,2
Sprache,2
bilden,2
anfangen,2
erwarten,2
Anfang,2
wohnen,2
Ort,2
Moment,2
warten,2
Bedeutung,2
helfen,2
bedeuten,2
